83,43,37,22,17,69,16,12,63,66,36,26,94,38,97,67,29,48,55,10,13,1,4,60,39,7,20,11,32,68,33,40,19,88,52,31,81,14,2,79,23,44,93,47,89,65,95,78,85,24,34,59,91,42,5,51,18,75,61,77,71,49,6,41,64,21,45,82,3,87,86,0,15,8,73,76,27,90,84,72,53,74,50,56,92,62,57,9,30,80,35,96,58,25,46,70,98,28,54,99,93,34,36,44,72,88,52,3,31,23,2,0,70,45,49,61,47,73,83,9,42,4,43,19,7,57,21,63,28,66,58,46,64,13,82,25,48,15,40,74,56,69,14,68,11,85,12,33,8,60,1,86,20,22,41,94,5,92,39,35,99,62,32,96,24,91,67,98,89,87,97,51,54,53,79,50,95,71,76,65,59,81,10,27,55,90,84,75,38,6,78,16,37,30,80,29,18,77,26,17
95,91,80,53,60,51,9,27,43,76,57,17,23,65,52,61,24,31,29,28,49,46,62,33,25,96,10,0,68,11,97,63,2,75,84,39,15,47,30,45,50,6,42,54,66,7,1,34,83,72,86,81,79,18,12,22,90,94,67,70,48,85,35,32,4,36,99,93,37,64,82,56,13,26,21,73,55,5,44,40,74,14,98,88,77,16,89,19,20,58,92,8,59,41,69,78,87,3,38,71,68,35,90,44,7,49,22,73,40,97,83,79,55,5,50,39,23,4,10,1,56,32,2,72,52,27,82,37,13,57,51,21,61,29,41,54,48,74,80,31,85,75,26,95,42,8,15,28,47,6,43,45,99,62,70,88,94,36,38,93,30,81,67,65,19,11,34,86,69,17,89,96,77,9,3,46,58,59,24,84,98,64,92,66,14,71,87,53,12,91,76,25,18,33,78,16,60,63,20,0
76,73,53,60,54,8,62,50,56,2,51,92,75,7,4,10,68,16,67,3,17,5,31,86,0,25,55,30,9,71,59,29,45,14,35,72,95,26,88,64,11,82,44,69,93,42,15,77,21,22,19,91,36,37,32,20,81,57,46,96,12,13,63,98,28,78,40,1,52,87,6,84,33,38,65,18,90,43,99,27,24,23,61,94,48,47,85,70,97,39,89,79,74,49,58,34,80,83,41,66,13,65,33,42,97,39,80,18,12,74,17,73,28,53,46,90,63,21,70,50,67,8,60,61,76,75,9,3,16,98,29,94,86,19,69,38,84,15,11,78,87,71,62,52,91,10,58,44,83,92,5,95,37,66,55,96,14,56,48,49,54,85,99,7,2,20,45,41,36,26,59,27,25,30,34,47,1,32,35,77,23,64,81,24,79,4,0,93,31,89,43,68,22,57,51,72,6,88,40,82
90,56,67,20,0,24,70,61,74,60,86,69,13,84,85,38,80,9,46,37,54,8,95,33,36,73,75,64,12,65,14,50,96,91,41,4,87,51,94,28,1,30,21,29,22,76,78,15,66,35,44,19,52,55,98,77,17,11,23,88,45,43,5,31,49,34,25,97,10,62,53,92,82,63,42,3,79,40,27,93,99,68,71,39,26,48,47,58,6,57,72,81,2,89,59,16,7,32,18,83,99,42,70,5,51,85,74,60,82,18,39,47,27,89,96,22,28,86,94,50,53,40,98,13,67,79,63,65,6,49,62,88,32,69,30,9,25,37,87,36,66,80,90,59,16,7,26,72,61,35,48,29,57,78,21,1,58,23,24,12,45,55,41,3,15,77,81,33,11,76,95,0,43,38,54,19,2,4,91,14,44,84,68,83,97,34,93,8,75,92,71,17,52,20,56,46,64,73,31,10
28,44,37,35,6,14,86,63,80,19,39,79,24,78,51,99,81,95,94,96,23,52,46,31,93,54,73,26,68,56,88,8,30,89,10,74,34,29,83,45,21,82,27,61,62,75,76,70,7,20,9,15,53,11,77,59,22,32,33,85,49,2,50,13,17,91,55,43,64,48,57,92,25,41,84,60,12,3,72,66,90,38,97,65,18,58,67,0,1,42,36,40,71,16,4,5,69,47,87,98,3,83,18,77,42,67,90,64,47,16,8,35,88,7,6,37,14,48,36,30,53,17,27,79,4,98,73,54,50,86,68,62,91,22,5,71,10,92,81,46,99,1,74,20,45,15,43,76,56,63,2,72,40,33,65,28,70,89,38,52,69,58,26,13,21,59,97,19,55,32,85,49,41,80,44,82,12,75,9,11,51,39,66,94,24,57,87,31,29,34,78,84,23,60,95,25,93,0,61,96
61,64,94,82,90,73,67,83,69,21,27,91,97,50,65,6,43,52,74,12,51,14,95,72,93,25,92,59,4,2,98,15,76,20,39,41,17,86,78,9,55,75,38,1,60,0,88,58,46,70,22,48,89,79,36,24,32,23,56,7,40,77,28,8,49,19,3,63,80,33,45,5,87,62,37,31,11,30,44,29,53,18,81,68,35,34,99,13,10,57,85,84,26,16,42,71,54,66,96,47,53,94,49,74,69,42,43,38,24,12,18,32,66,71,83,57,65,0,99,33,61,63,98,11,73,4,46,81,48,79,44,19,70,21,68,20,51,1,52,41,45,80,29,77,36,55,15,56,23,2,28,26,60,16,54,50,5,14,31,39,13,22,88,25,9,93,58,90,7,76,59,8,67,95,27,40,92,96,34,75,30,78,87,3,62,85,37,35,17,82,91,97,86,64,47,72,6,10,89,84
70,7,56,38,18,20,31,32,93,30,59,95,21,12,2,89,23,81,91,79,17,24,77,99,40,62,4,73,74,76,83,22,19,51,87,68,10,55,75,3,61,11,46,33,90,85,97,86,16,96,65,92,0,53,28,67,66,71,88,42,15,80,57,84,44,72,82,78,64,47,13,29,98,25,58,43,41,37,14,94,26,48,6,27,60,35,9,52,63,8,49,36,69,5,39,50,54,45,1,34,34,25,8,36,84,80,60,40,89,0,73,79,17,43,2,31,13,7,10,95,52,65,22,21,47,5,67,97,61,66,32,70,99,12,71,72,6,41,58,55,20,86,90,3,11,76,15,19,4,44,68,85,77,64,87,82,51,94,63,1,28,54,18,98,96,38,74,9,33,62,88,46,83,48,14,45,57,49,69,56,59,30,42,91,24,23,37,35,16,81,39,29,93,75,50,53,78,26,92,27
88,30,90,68,55,17,0,3,53,12,81,29,87,32,46,72,74,15,50,44,5,66,28,93,9,73,42,62,80,78,14,6,64,36,99,19,95,16,65,23,27,7,47,31,58,35,40,69,57,51,34,70,94,97,1,43,38,8,67,59,52,49,96,91,13,54,10,24,71,48,92,63,77,26,60,21,61,41,56,18,37,98,82,45,2,25,33,79,20,89,4,76,86,11,22,84,75,83,85,39,57,36,25,77,19,69,53,24,97,32,28,41,79,75,99,5,47,92,16,64,66,20,67,90,1,6,48,80,60,82,37,50,65,40,84,73,23,98,14,10,33,56,43,54,17,93,22,21,35,62,18,0,15,58,13,4,34,12,61,30,29,8,44,94,96,59,88,87,39,26,9,27,2,46,38,45,42,70,31,81,83,78,55,89,7,71,72,86,68,51,52,63,74,91,49,3,76,85,11,95
72,66,10,55,46,97,80,19,82,63,9,4,25,36,59,98,41,76,86,75,44,83,92,5,37,96,84,15,54,18,43,61,81,29,71,34,33,11,69,99,0,68,52,70,40,65,89,88,23,64,93,60,31,42,85,28,67,14,22,20,73,2,62,48,91,16,94,21,3,38,56,35,53,26,6,51,58,95,1,30,50,78,45,12,87,32,7,27,13,90,49,47,24,74,57,17,77,79,39,8,23,60,22,11,35,18,43,61,32,12,36,66,97,78,24,42,19,56,44,73,71,79,65,51,91,28,76,81,99,62,46,72,8,63,13,25,77,31,0,16,50,27,39,49,96,34,6,5,38,54,85,57,59,67,10,83,55,20,82,33,47,15,29,58,70,88,86,40,89,93,68,87,95,48,37,74,1,7,14,69,30,90,4,98,84,64,52,45,92,26,21,9,75,80,94,53,17,3,41,2
32,17,55,95,94,58,12,6,41,92,72,76,87,40,98,52,88,24,60,75,9,54,14,36,82,78,46,91,53,3,59,61,83,85,29,34,99,15,93,13,73,51,81,5,18,64,35,97,23,7,1,42,28,74,47,48,20,70,79,49,25,0,65,57,84,31,21,62,45,30,69,2,8,38,11,90,37,22,71,96,33,10,19,63,39,66,86,68,56,50,43,80,4,26,89,67,16,44,27,77,20,68,63,0,74,59,13,22,11,54,33,52,61,76,36,27,81,56,96,66,55,18,16,12,67,98,84,82,57,53,28,39,86,69,31,87,46,85,30,47,95,44,77,78,34,72,58,7,94,45,62,90,17,49,21,1,25,65,10,71,6,51,83,8,15,93,91,79,89,5,64,75,50,97,48,32,23,73,43,2,80,38,60,42,26,9,35,24,4,92,37,40,14,29,88,19,41,99,3,70
